               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,           0.0083628,           0.0038004,            0.029609,             0.50996,             0.78982,             0.60991,             0.60031,           0.0034275,           0.0015701,            0.018922,           0.0062875,           0.0062875,           0.0062875
                  77,            0.008251,           0.0038435,             0.02965,             0.51257,             0.78232,             0.60996,             0.60046,           0.0034284,           0.0015694,            0.018915,            0.006238,            0.006238,            0.006238
                  78,           0.0083259,           0.0037935,            0.029607,              0.5123,             0.78067,             0.60997,              0.6005,            0.003428,           0.0015684,            0.018907,           0.0061885,           0.0061885,           0.0061885
                  79,            0.008301,           0.0038124,             0.02966,             0.51234,             0.77996,             0.61064,             0.60091,           0.0034291,           0.0015693,              0.0189,            0.006139,            0.006139,            0.006139
                  80,           0.0082644,           0.0037706,            0.029384,             0.51044,             0.78264,             0.61082,              0.6011,           0.0034293,           0.0015687,            0.018893,           0.0060895,           0.0060895,           0.0060895
                  81,           0.0082419,           0.0038037,            0.029516,             0.51328,              0.7807,             0.61097,             0.60123,           0.0034278,           0.0015676,            0.018887,             0.00604,             0.00604,             0.00604
                  82,           0.0082801,           0.0038206,            0.029621,             0.51387,             0.77938,             0.61095,             0.60119,           0.0034263,           0.0015683,            0.018882,           0.0059905,           0.0059905,           0.0059905
                  83,           0.0081697,           0.0037952,            0.029614,             0.51311,             0.77891,             0.61121,             0.60152,           0.0034248,           0.0015675,            0.018872,            0.005941,            0.005941,            0.005941
                  84,           0.0082083,           0.0037997,            0.029527,             0.51366,             0.77618,             0.61153,             0.60194,           0.0034248,           0.0015674,             0.01887,           0.0058915,           0.0058915,           0.0058915
                  85,           0.0081735,           0.0038013,             0.02947,              0.5151,             0.77363,              0.6119,             0.60222,            0.003425,           0.0015674,            0.018864,            0.005842,            0.005842,            0.005842
                  86,           0.0082928,           0.0037914,            0.029667,             0.51681,             0.77074,             0.61187,             0.60238,           0.0034236,           0.0015677,            0.018857,           0.0057925,           0.0057925,           0.0057925
                  87,           0.0081797,           0.0037723,            0.029516,             0.51713,             0.77151,             0.61235,             0.60277,           0.0034235,           0.0015678,            0.018851,            0.005743,            0.005743,            0.005743
                  88,           0.0081598,           0.0037502,            0.029553,             0.51777,              0.7717,             0.61241,              0.6028,           0.0034228,           0.0015678,            0.018849,           0.0056935,           0.0056935,           0.0056935
                  89,           0.0081037,           0.0037431,            0.029691,             0.51638,             0.77766,             0.61247,             0.60293,           0.0034216,           0.0015679,            0.018846,            0.005644,            0.005644,            0.005644
                  90,           0.0081251,           0.0037777,            0.029373,             0.51701,             0.77416,             0.61251,              0.6029,           0.0034207,           0.0015677,             0.01884,           0.0055945,           0.0055945,           0.0055945
                  91,           0.0080655,           0.0037268,            0.029599,             0.51782,             0.77494,             0.61278,             0.60313,           0.0034198,           0.0015677,            0.018829,            0.005545,            0.005545,            0.005545
                  92,           0.0081042,           0.0037225,            0.029663,             0.51824,             0.77377,             0.61315,             0.60355,           0.0034181,           0.0015679,            0.018822,           0.0054955,           0.0054955,           0.0054955
                  93,           0.0082095,           0.0037466,            0.029581,             0.52195,             0.77126,              0.6137,             0.60393,           0.0034178,           0.0015678,            0.018818,            0.005446,            0.005446,            0.005446
                  94,           0.0080751,           0.0037942,            0.029568,             0.52274,             0.77029,              0.6141,             0.60438,           0.0034166,           0.0015677,            0.018813,           0.0053965,           0.0053965,           0.0053965
                  95,             0.00804,           0.0037385,            0.029525,             0.52216,             0.77121,             0.61438,             0.60481,           0.0034145,           0.0015672,            0.018806,            0.005347,            0.005347,            0.005347
                  96,           0.0081127,           0.0037724,            0.029579,             0.52363,             0.76995,             0.61453,             0.60492,           0.0034133,           0.0015676,            0.018798,           0.0052975,           0.0052975,           0.0052975
                  97,           0.0081601,           0.0037321,            0.029412,             0.52294,             0.77141,             0.61467,             0.60509,           0.0034126,           0.0015673,            0.018791,            0.005248,            0.005248,            0.005248
                  98,           0.0080071,           0.0037694,            0.029509,              0.5234,             0.77227,             0.61487,             0.60537,           0.0034126,           0.0015683,            0.018789,           0.0051985,           0.0051985,           0.0051985
                  99,           0.0080862,           0.0037498,            0.029322,             0.52518,             0.76955,             0.61495,             0.60546,           0.0034117,           0.0015688,            0.018787,            0.005149,            0.005149,            0.005149
                 100,            0.007973,           0.0037325,             0.02953,             0.52313,              0.7718,             0.61507,             0.60548,           0.0034113,           0.0015698,            0.018783,           0.0050995,           0.0050995,           0.0050995
                 101,           0.0079905,           0.0037459,            0.029308,             0.52399,             0.77054,             0.61553,             0.60613,            0.003411,           0.0015698,            0.018778,             0.00505,             0.00505,             0.00505
